"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2024","2.460","2.560","2.560","2.460","1.96M","-2.77%"
"03/25/2024","2.530","2.550","2.589","2.520","1.66M","0.00%"
"03/22/2024","2.530","2.600","2.610","2.530","1.42M","-2.69%"
"03/21/2024","2.600","2.690","2.710","2.590","2.57M","-1.89%"
"03/20/2024","2.650","2.530","2.650","2.490","2.39M","4.33%"
"03/19/2024","2.540","2.560","2.625","2.520","2.29M","-1.93%"
"03/18/2024","2.590","2.600","2.600","2.460","3.10M","0.00%"
"03/15/2024","2.590","2.500","2.595","2.480","17.18M","3.19%"
"03/14/2024","2.510","2.560","2.560","2.450","3.40M","-1.57%"
"03/13/2024","2.550","2.500","2.590","2.470","4.11M","2.00%"
"03/12/2024","2.500","2.590","2.590","2.470","4.47M","-3.47%"
"03/11/2024","2.590","2.570","2.600","2.525","3.98M","0.39%"
"03/08/2024","2.580","2.630","2.710","2.550","4.17M","-1.15%"
"03/07/2024","2.610","2.630","2.710","2.590","3.84M","-0.38%"
"03/06/2024","2.620","2.800","2.825","2.510","7.76M","-8.07%"
"03/05/2024","2.850","2.850","2.930","2.830","3.05M","-0.35%"
"03/04/2024","2.860","3.050","3.050","2.850","2.94M","-5.30%"
"03/01/2024","3.020","3.060","3.095","3.010","2.00M","0.00%"
"02/29/2024","3.020","3.000","3.060","2.970","2.06M","1.34%"
"02/28/2024","2.980","3.020","3.045","2.960","2.08M","-1.32%"
"02/27/2024","3.020","2.950","3.060","2.930","3.19M","2.72%"
"02/26/2024","2.940","2.950","2.980","2.890","2.01M","-0.68%"
"02/23/2024","2.960","2.950","2.980","2.900","1.72M","-1.66%"
"02/22/2024","3.010","3.050","3.070","2.990","2.77M","-2.27%"
"02/21/2024","3.080","3.100","3.159","3.040","2.64M","0.00%"
"02/20/2024","3.080","3.100","3.160","3.030","3.47M","-1.28%"
"02/16/2024","3.120","3.120","3.165","3.050","2.17M","-0.64%"
"02/15/2024","3.140","2.950","3.160","2.943","2.56M","7.17%"
"02/14/2024","2.930","2.900","2.960","2.870","1.98M","2.09%"
"02/13/2024","2.870","2.960","2.990","2.860","2.44M","-3.69%"
"02/12/2024","2.980","2.860","3.025","2.860","2.05M","4.20%"
"02/09/2024","2.860","2.840","2.910","2.830","2.32M","-0.35%"
"02/08/2024","2.870","2.780","2.898","2.755","2.29M","2.50%"
"02/07/2024","2.800","2.830","2.860","2.730","1.93M","0.00%"
"02/06/2024","2.800","2.770","2.860","2.750","2.38M","1.45%"
"02/05/2024","2.760","2.770","2.820","2.710","2.74M","-1.08%"
"02/02/2024","2.790","2.930","2.930","2.790","2.68M","-4.45%"
"02/01/2024","2.920","3.080","3.160","2.910","2.96M","-3.95%"
"01/31/2024","3.040","3.250","3.250","3.040","2.28M","-6.46%"
"01/30/2024","3.250","3.190","3.260","3.130","2.11M","0.31%"
"01/29/2024","3.240","3.250","3.250","3.150","2.41M","-0.61%"
"01/26/2024","3.260","3.170","3.275","3.165","2.78M","2.52%"
"01/25/2024","3.180","3.130","3.190","3.020","3.83M","3.58%"
"01/24/2024","3.070","2.970","3.080","2.910","3.27M","5.50%"
"01/23/2024","2.910","2.850","3.000","2.840","3.11M","2.83%"
